Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
50,2,,10.2,100,
24.6,,100,12.7,9.8,8.8
,,,,,0
,,,,,
,,,,,21.8
100,11.3,,8.6,,
,,,,,
,,,,,
35,,,,,0
,,,,,
50,1,,0,0,100
71,,,,,33
,,,,,
,,,,,
65,,,,20,0
,10,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
91,,100,0,100,5
47.6,3.2,,,,25
,,,,,
50,,,,,0
28,16.1,,1,,0
,,,,,
,,,,,
26.7,,,,,
80,,,,,
,,,,,
,,,,,
,,,,,
22.6,,,,,6.8
,,,,,
,,,,,
,,1,13.8,44.1,
,,,,,
,,,,,
,,,,,
,,,,,
19.4,21.1,100,4.9,58.4,3.4
63.8,8.1,,,,42.9
,,,,,
,,,,,28.5
,,,,,
,,,,,
,,,,,
,9,,0,25.7,4
56.2,13,100,6,50.9,24.7
85.7,6.7,100,18.2,78.4,25.6
,,,,,
,10.4,,16.5,77.2,7.2
,,,,,
21.9,,100,13,,3.5
60,,,5.5,,75
37.5,,,,,
,,,15,,
,,,,,
,,,27.9,,8.9
56,3,,,,12.5
7,,,,,
,,,,,
,,,,,
,,,,,33.3
,,107.1,,,17.8
,5.8,,,,
,,,9.5,,17
,2,,,,
19.1,,,,,1.6
,,,,,
15.5,11,100,10.3,61.1,4.7
0,0,0,30,0,0
75,5,0,10,50,0
10,4.8,,33.8,53.4,0
75,7.2,,0.4,,100
,,,,,
,,,,,
,,,,,
43.1,3,,,,
100,3,0,1,58,100
,,,,,
29.3,4.9,100,7.5,44.4,20
,,,,,
,,,16.6,,63.6
,,,,,
,,,,,
,,,,,
82.3,,100,11.3,68.4,33.3
,,,,,
,,,,,
,,,,,
,,,,,
,8.7,98.2,12.5,71.7,12.5
,12.9,,,,11.7
68.1,7.1,100,3,57.5,27.2
4.5,14,,,45.7,0
77.5,,,,,58.8
,,,,,
,,,2,,
,,,27.1,,
,,,,,
18,13,,10,87,7
6.3,18.8,,,,
1,,,,55,
,,,,,
,,,,86.6,
,,,,,
,5,,,,6.6
31.9,9.3,100,19,72.4,4.8
54.4,8.3,,,,
6.3,,,,,7.1
,,,,,
73.8,1.7,2.7,,,66.6
,,,,,
49.6,,,,60,
,,,,,
,,,,,
,,,,,
,,,,,
50,2,,12.6,,11.1
,,,,,
,,,,,
,,,,,
22,13.1,0,3.1,59,0
75.9,14.2,100,7,,58.6
20.9,,,16.5,54.6,5.8
,,,,,3
,,,10.8,,0
,,,,,
,,,,,
80,,100,,,66
,,,,,
43.5,13.6,100,18,66.3,14.3
8.6,8.8,,,,
,7,,2,100,100
0,,,31,,0
,,,,,
5.5,6.6,,,43.8,0.4
,,,,,
12.2,10.7,100,27.4,78.3,3.3
46.8,14.4,100,13.3,,7.7
,,,,,
42.8,7.8,100,10,,23
,,,,,
4.4,14.1,100,,,0
,,,,,
8.5,5.4,100,16,73,3.6
,,,,,0
70,,0,,,
,,,,65.3,
12.3,14.1,,21.3,52.5,6.8
,,,,,
38.7,,,,,25
,,,,,
100,,,,,0
2,2,0,6.4,66.8,
,,,,,
,,,,,
,,,,,
16.2,16.4,99,21.7,75.3,4.1
,,,,,
,,,3.5,,
47.7,13.8,100,18.9,58.1,53.8
19,,100,,93,0
,22.2,,13.8,,
10,,100,,,
25.2,,,,74,
69,12.3,100,11,84,0
,,,,,
,,,,86,
,0.1,,,54.8,10.7
40.7,,,13.2,74.3,6.2
,,,,,
,,,24,,5
,,,,,
,,,,,
,9,,7.2,,0
,,100,,,0
38.2,15.8,100,18.5,85.7,0
,,,,,
,,,,33,17.8
,,,20.3,,9.1
15.3,,,,,28.5
,,,,,
,,,,,
,15.8,,21,57.7,2.9
50,9,100,3.5,70,0
13.2,22,100,35,,0
9.7,19.2,100,,52.2,0.5
29.9,9.8,0,3.8,50.5,7.7
15.4,10,,,,2.7
41.3,8.8,100,9,,
51,5.3,100,22.3,,21.8
,,,,,
54,10,,10.4,43.8,20
,,,,,16.7
,,,,,
,,,,,
11,,,,,
,,,,,
25,,,,,
,,,,,
,,,,50,
20.2,16.3,100,6.6,68.4,12
65,15,100,8.8,78,44
,,,,,
,14.5,,,61.3,5.2
16.2,,,,61.1,0
,10,,,,
10.7,17,,,9.9,12.1
65.5,10.3,100,3.6,15.5,32
,12.5,0,28.9,69.2,0
5,17,,,,
,,,,,
50,18,100,7.1,49.1,30
,,,,,
,,,,,
,,,,,
9.3,17.2,100,11.1,52.6,0
,11,,,,
,,,,,
,0,,,,8.3
,32.3,,19.4,,6.9
,,,5.2,,10.8
,,,,,
58,14,,,,2
,0.3,,13.5,,0
,,,,,
,,,,,
100,8,,15,,
,,,,,
,,,,,
,,,,,
7.1,23.1,100,17.3,51,7.6
,,,,,
,,,,,
9.8,,100,13.9,52,1.1
23.4,5.5,,,,
,,,,,
12.3,,,,63.4,
40.2,7.3,100,1,67.4,5.3
,,,,,
6.8,14.9,100,5.1,80.1,1.2
,,,,,
22.6,18.8,,,35.9,12.4
,,,,,
,0,,,,
,,,,,
,5.1,,20.5,,0
,,,,,0
,,,,,
,,,,,
,,0,,,
,,,12.5,,
,,,,,
,,,,,
3,6.9,,,,
,,,,,
,,,,,
10.1,8.1,100,18.5,48.5,18.7
44.1,10,,9.8,24,
42,15.3,,,39,14
25,3.5,,,,0
28,13,100,13.7,66.4,7.2
,,,,,
,,,,,0
,,,,,
,,,,,
9.2,,,20,,11.1
0,,,0,0,0
,,,,,
,,,,,
54,10.9,100,1.3,68,25
,3.1,,,,55.9
,,,,,
31.8,12.1,,14.3,57.1,11.4
29,14,100,,,
50.9,12.4,,5.1,57.6,7.8
0,0,,,,
,,,,,
,,,23,,33.3
,,,,,
