Proportion(%),Working_years(y),Parental_leave(%),Overtime_hours(h),Annual_leave(%),Management_proportion(%)
,12.1,,21.4,,
,,,,,
38.1,4.6,,,74,
,,,,,
,,,,,
25.9,8,,,,8.2
,17,100,,,0
,,,,,
,,,,,
0,0,0,6.5,21.5,0
58.9,9.5,,,,
18.9,13,100,8.9,62.5,5.2
,,,,,0
50,2,,,,20
40.3,,100,,,11.6
19.4,15.4,100,14.4,68.1,10.9
,,,,,
,,,20,,0
50,2.6,,,,33.3
20,,,,,6
,,,30,,0
,,,,,
46.6,16.7,,4.6,18.1,46.7
,,,,,
,,,,,
,,,,,
,,,,,
11.8,8,100,6.2,14.9,2
,,,,,
50,9.5,,,,14.1
,10.3,100,21.7,,
85.7,5,,2.6,,60
92.9,9.8,100,5.2,52.7,53.1
21.1,5,,23.4,44.5,5.8
,,,,,
,,,,,
,,,,,
,7.6,0,19.4,13.4,28.6
41.5,9.1,7.1,6,66.4,7.5
73,7.3,100,5.9,63.4,35
,,,,,
,,,,,
,8.4,,3.8,,19.6
19.8,10,,20.3,,2.4
11,9,,,,
,,,,,
,,,,,
,14.4,,,,
18.1,24,,19.6,,0
9.9,8.4,100,25.1,56.2,2.4
4.2,11.7,,,,1.6
,,,,,1.9
,,,,,
,,,,,
10,10.7,100,7.8,60.7,
11,,,,,
,,,,,
,,,,,
,,,,,
,12,,19.7,,0
,,,,,1.5
17,,,12.3,66.1,8.8
13.9,16.3,,,65.1,
,,,15,,
,,,,,
,,,,,
47.1,,,4.4,,
21.7,16.5,100,12.7,71.4,7.2
40.1,20.8,,14.7,70,5.5
17.2,3.8,100,14.6,70.5,3.3
,,,,,
33.8,11.5,100,18,76,13
39.5,11.3,100,13.4,69.1,8.5
25.1,,,16.4,70.2,7.5
,11.3,,3,,29
26.6,10.5,,15.6,,2.8
,,,,,
47.4,15.7,110.5,6,78.7,11.7
67.8,11.1,98,5,71.6,27.5
,,,,,
2.6,5.7,,31.5,,
,,,,,
,,,,,
,,,,,2.9
,,,,,
29.7,5.4,100,6.5,67.5,7.1
5.6,6.4,0,17,,11.6
44.8,,98.6,,,27.5
,14.5,,,,33
,,,,,
,,,,,
53.8,11.1,,,,9.1
,10.2,100,17.6,,4.9
,,,,,0
0,0,0,45,,0
,,,,,
,,,20,,3.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
45,,,,,
4.7,8.3,100,18.8,,
13.8,21.1,100,10,45.6,9.2
,8.2,,,,
,,,,,
17.7,5.9,100,25,66.6,2.2
33,3,100,25,40,0
4,11.2,,24,51,1
,,,,,
8,,,21.6,,
17.4,7.7,,25.6,,0
2.3,14.7,,,63.7,
10.2,,,14.1,,
5,,,,72,
,,,,,
,,,,,
,,,,,12.5
,,,,16.6,
,,,,,
,8.2,,22.6,56.3,4
62.3,5.8,100,7,79.5,27.2
,,,,,
,,,,,
1.8,12.7,,15,,
16.1,16,100,14.3,45.1,6.7
17,1,,13,,0
21,7.4,,,,
12.9,11,100,14,49.2,6.5
11.5,12,100,21.4,50.1,3.3
17.3,11,100,22.8,44.3,6.4
,,,11,,0
100,,,,,
0,0,0,8,,0
,,,,,
42.6,,,,,
22.4,16.1,100,25,45.8,4
15.7,11,100,30.3,66.5,0
,,,26.7,,
16.3,11,100,17.3,95.7,6
,,,,,
,10.3,,,,
0,12,,,,20
,,,,,
,,,,,
9.4,6.5,133.3,7.1,66,1.1
18.2,,,10.8,,4.4
,,,,,
,,,,,
,,,,,0
,,,,,
,9.5,,,,5.6
65.1,5.1,100,1.3,10,11.9
31.9,,,13.8,,
,10.4,,18,,6.1
28.5,6,0,,,
0,,,,,
17,5,100,34,25,7.5
15.5,18.6,100,7.2,53,1.6
,11.8,,,,
7,,,,,
,,,,,
,,,,,
0,0,0,20,50,0
,,,,,
8,,,,70,
,,,,,
41.9,14.4,98.7,17.7,64.1,24.4
11.2,,,,4.6,
,,,,,
,,,,,
,,,,,
,,,,38,16.6
,8,,,,3
,,,,,
,,,,,
3.3,18,,,,2.9
,,,,,
20,,100,,,0
,,,,,
,,,,,
,,,,,
,4.7,,,,43.2
,8.8,,38,,0
,,,,,
,,,,,
18.6,17.8,,,,1.8
59.6,,,,81.6,
,,,,,
,,,,,
,,,,,4
,,,3,,
,,,,,
,,100,7.6,,
10.3,15.9,100,9.1,70.5,3.5
6,9,100,20,55,0
,,,23.1,,
,,,,63.1,
0,2.1,,,,
,,,,,
0,,100,8.6,,15.5
0,,150,,,
36,7.2,,1.8,44.8,44.4
,,,,,
,,,,,
,,,,,
1.8,,,,,
,14,,,,
9.7,7.5,100,22.3,42.4,0.9
,,,,,
,,,,,
,14.2,,2.6,,3.7
,,,,,
14.8,15.7,,,78.6,
,,,,,
22,0.3,0,49.5,33,
29.9,13.2,,,,14
,,,,,
,,,,,
,,,,,
,11.1,,9.7,,19.6
0,0,,10,0,0
,,,,,
8.8,8,100,14.6,77.5,4.6
13.5,6.9,100,20.4,78.3,8.2
34,5.7,100,29.9,67.5,8.4
,,,,,
46.4,4,,11.8,80,35.2
,,,,,
,,,,,
13,,100,,,
11,,,,,
,,100,,,
6.7,,,0,,0
,,,,,
,,,,,
,,,,,
30.3,6.3,100,6.3,,38.4
,,,,,0
,,,,,
22.8,,100,,,2.4
,,,,,
10,15.3,100,16,50,5.2
,,,,,
,,,4.3,,0
,0,,,,0
,,,43,,
16.5,13.3,100,12,72.8,6.7
,11,,,,2.2
,,,,,
,,,,,
,,,,,
12.2,12.2,,18.3,64.4,1
8.6,15.8,100,3.9,79.4,12.4
20.6,,100,,,
,,,,,
14.3,,,,49,
,19.5,83,,,
0,,,17.2,,
,,,,,
5.8,6.8,100,20,45,0
11.1,5.8,100,12.8,67.3,4.7
,12,,22,,0
26.7,,,,57.3,
,,,,,
18,13.6,100,15.9,48,9.6
9,,,,,
,,,,,
16,11.6,100,19,42,7.9
15.4,9.7,100,,,1.8
,7.5,,3.1,,3.4
,,,,,
,,,,,
30,17,,5.2,49,0
15.5,,,,,2.2
16.7,12.2,100,3.6,57.7,1.2
,11.5,,,,
,5.2,,22,,0
30,2.6,,28,,0
15.5,18.2,100,12.7,51.7,3
,,,,,10.5
,,,,,
20.6,14.4,100,14.5,54.7,6.1
27.2,,,,75.6,1.1
20.9,12.9,,8.2,,12.2
,16.9,,,,0.5
,,,,,
,,,,,
,,,,,50
,1.9,,26,,19
3.2,8.5,,,,
7.8,15,100,22.5,93.4,2.7
10.6,19.4,100,18.2,53.9,3.4
16.2,,100,,,3.2
6.2,,100,,,
,,,,,
,,,,,
10.7,3.8,,,,0
,14.6,,25.5,45.2,0
12.6,13.1,100,18.5,71.2,2.5
,,,,,
,10.5,18.8,12.8,58,
11.5,17.4,100,18.8,49.9,0.4
3.6,13.3,,5.1,,2.8
8.9,11.6,100,,38.5,0.8
35.8,,,11.8,,
,,,,,
,,,49,,
26.7,17,100,7,60.4,6.5
,,,,,
,,,,,7.1
,,,,,
50.8,23.4,100,0.4,52.7,26.8
,,,,,
,10.1,,,,
50,,,,,
23.3,12.6,,,,25
,6,,,,
,,,,,14
15.1,11.3,100,26.9,,
29.5,,100,,,
,,,,,
28,10.5,100,19.8,19.3,4.3
,15,,23.5,,0
20,,,19.4,,
,,,,,
,,,,,
,,,,,2.7
49,16,,,,
54,6.7,,10.1,51,22.7
,,,,,
,8.1,100,19,49.6,5.2
,,,,,
,,,,,
,,,,,
,,,,,4.1
,,,,,
,,,3,,8.9
11.2,21.8,,,,
40,14.5,100,19.1,78.7,9.6
,,,,,
21.1,7.6,,,,9.7
,,,,,
,,,,,
,,,,,
16.3,6.9,,18.5,,8.3
,14,,,,
,,,,,
18.5,4.2,0,24.6,,20
,,,,,0
,,,,,50
,,,,,
,,,,,
,1.2,,20,,9.5
44.6,12.4,98,6.8,71.7,16.3
,,100,3.2,69,18
,,,,,
,,,,,
2.4,2.3,0,28.1,38,
,4.2,,,,
23,,,,,2
,,,,,
26.8,14.2,91.7,7.8,76.5,7.9
20,,,,,
,,,,,
25,0,,0.2,100,16.7
,16.7,,,,
,,,,,
20.7,10.5,96.6,30.2,68.4,4.1
66.5,5,,11.2,36.2,25
,,,9.7,,
,,,,,
,,,,,
,,,,,
,,,,,
19.7,9.7,,,,
13.4,,,,,4.6
,,,,,
,,,,,
25,11.1,100,17.2,71.1,3
43.5,13.6,100,8.3,32.6,23.3
21,21.1,,,,
32.4,15,100,5,58.9,9
26.7,4.9,0,18.2,44,0
71.4,,,,46.5,
20.3,10.8,100,22.8,43.5,23.1
33,,5.5,13,61.1,20
28.6,13,2.9,14.3,42.9,0
36.3,9,0,18.4,51.8,12.5
,,,2,,0
,,,,,
,,,,,
94,,,,,
,,,,,
,13,,,,20
48.4,15.9,100,4.8,51.6,15.6
26.7,4.3,100,,,8.3
25,,,,,2
,,,28.1,,31
,,,,,
24,,,,,13
,,,,,
56.7,4.6,100,24.9,75.4,20.7
35.1,,,,,
,,,,,
,,,,,
60.7,7.5,,7.3,,10.7
,,,,,
69,,100,,,30
,,100,,,65.2
,,,,,
,,,,,
,,,,,
,,,,,
33.3,5.8,,14,,26.7
,,,,,
,,,,,
28.4,5.8,,,13.4,15.4
,,,,,
,,,18,,
,,,,,
,14.9,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,100
,,,0,,0
,1.5,100,0,23,100
,,,,,
,,,,,
,,,,,
80,13.6,0,1.3,46,100
,,,,,
,,,,,
22.2,,,,,15.4
,,,,,
15.4,0.9,,8.7,,0
,,,,41,
,,,,71.9,
,,,,,8
,17.7,100,4.8,,20.8
,,,,,
67.7,5,100,6,52,12.5
,,,,,
,,,,,
,,,,,
18.8,,0,,,14.3
8.7,9.3,100,10.2,44.8,2.4
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
0,0,,20,0,0
98,,,,,
26,10.3,100,8,,0
,,,,,
,,,,,
6,11,,,,
,,,,,
,,,,,
,13.1,,18.4,90.7,3.1
,,,,,
,,,,,
56.5,,,8.2,,0
,,,,,
5,15,0,14,50,0
0.6,,,,,
,,,,,
23.6,17.4,100,9.2,58,2.7
,,,,,
,,,,,
43,14.9,105.1,8.7,70,25.5
30,14.5,100,16.9,75.1,5
37.6,13.2,100,11.6,49,21.2
,,,,,
28,,,,,0
,,,,,
71.7,10.6,100,8.8,53.3,57.4
,7.4,,7.3,,35.3
45.2,8.8,100,11.5,60,39
,,,,,
,12.2,,7.3,,20.2
30,18,100,2.2,51,17
,,,,,
80,6.7,100,3.1,63.2,61.9
,,,,,
,,,,59.6,
,,,,65.9,
,,,,,
40.7,16.1,100,11.2,58.3,11.7
0,,,,,0
,,,,,
5.1,,,,,
,,,,,
,,,,,
,,,,,
,12.7,,,,7.3
,,,10,,
,,,,,
,9.5,100,11,,44.1
,,,,,
59.4,8,100,6.7,43.4,21.1
72.5,8,,,,
,11.8,,8.4,,46.2
,,,,,
,6.8,,,46,54.8
,,100,12.6,,23.1
,,,,,
99,9,,10,,98
,,,,,
,2.5,100,3.5,,50
,,,,70,
40,8,0,,,0
,,,19.9,,14.2
,,,7.5,,25.2
,,,,21.8,
24.7,15,100,21.5,58.3,11
,,,,,4.5
,16.5,,11.9,,
13.8,6.7,100,,,
23,,,,,
20,20.3,100,13.2,67.9,3.2
,,,,,
,,,,,
,,,,,
8,7.5,,23,,2.3
,,,,,
7.4,,,20.7,,0.5
,10.9,,,,
,14,,,,
,,,,,
15,13,,24.7,,14
,,,,,
,,,,,
,3.6,,,,18
24.8,14.1,100,11.5,63.3,7.2
,,,,,
,2.9,,,,
19.9,6,100,11,72.7,11.8
,,,,,
,,,,,
,15.9,,10,20,4.9
,,100,,,0
,,,,,
55.2,10.3,100,15.9,45.7,2.1
,,14,30,,10
18.2,18.3,,1,,20
9,,,,,
10.1,9.9,,,,
84,10.4,99.5,11,15,16
27.9,,,,,14.3
,,,,,33
,17.9,,,,
28.2,8.8,,16,,10.5
,,,,,11.1
,13,,9,,0
,,,4,,
,,,,,
60.7,15.8,100,0.5,49.5,67
,,,,,12.6
,,,,,
30.8,12.8,100,4.3,59,15.7
35,8.2,100,24.6,67.4,18
77,11,100,16.8,64,50
14.2,12.7,,16.9,78.7,1.9
10.7,16.5,100,21.6,62,0.8
27.9,6.6,,9.3,49.9,
,,,,55.4,
34,14.5,108,15.4,58.6,15.6
9.2,,100,,77.7,
,,,19,,7.9
,,,26.5,,33.7
4.9,31,0,10.6,,4.9
13.9,,100,,,0.2
,,,,,
,,,,,0
,,100,,,
,,,,,55.5
21,,100,,,
18.9,11.2,100,13.8,62,9.1
22.9,9,,,71.2,
28.6,17,100,22,85.2,1.9
0.9,7,100,23.9,93.5,
16.3,14.9,,,,5.8
50,,,,,
,,,26.7,,7.1
40,10,100,5,60,0
,9.4,,,,33
9.3,11.8,,27,,0
,,,,,
40.7,15,100,11.5,47.3,24.4
16.8,,100,,,
,,,,,
,3.2,,21,,12
,,,,,
,,,,,
,12.5,,,,
,0,,,,20
2.3,1,0,60,100,9
,20.1,100,,,7.9
8.4,20.5,100,33.1,56.7,0.8
45,,100,,,15.7
20.7,13.6,100,25.8,73.5,4
17.9,19.8,100,17.7,60,1.5
0.9,4,0,23.2,92.1,
,,,,,
,,,,,2.7
,,,,,
11.3,9.6,0,24.9,49.6,0
,,0,,,
,,,,,
,,,,,
33.3,14.7,,,43,2.5
22,5.5,0,11,36,0
,,,,,
,,,,,12.5
,,,,,
,,,,,
24.7,8.5,100,25.4,57.5,11.8
,,,,,
8.2,11,100,9,,
,,,,,
,,,,,
28.6,16,100,,,
,,,,59.5,
,,,21.4,,
,,,,,
,,,,,
9,,,6,85,0
57,,0,34,50,0
,,,32.6,,3.1
,,,,,
12.8,17.9,100,16.9,73.1,4.1
12.8,17.9,100,16.9,73.1,4.1
12.8,17.9,100,16.9,73.1,4.1
6.9,,100,,80,0
,,,,,
,,100,,,
,,,,,
,,,,,
0.6,5.2,100,22.1,76,0
,,,,,
,,,,,25.3
,,,40,,0
,12,,,,
10,18,100,22.9,63,2.4
,,,,,
,,,,,
,10.6,,7,,10
,,,,,
,,,,,
,,,,,20.2
,,,,,
84.8,,,,47.9,46
,,,,,
21.6,,,,,13.7
,,,,,
,,,,,
4,21,0,,,
,,,,80,
,,,,,
,,,,20,
100,0.9,,18.3,82.5,
36,7.2,,,,8
,,,,,
,10,100,,,20
,,,,,11
13.8,6,100,6.3,54.6,2
,,,,,
,,,,,
28.4,14.1,100,12.4,43.3,0
100,2,0,0,100,100
6.5,9.6,,,,
,,,,53.5,
65.7,17.8,,,,
,3.9,,,,50
,,,,63,
,9.8,,,,
16.5,,84.6,,49.2,3.7
20.2,,,,,
,,,,,
3,30,0,21,40.6,4
10.1,9.1,100,35.4,,0
4.8,4.8,100,,,
,,,,,
,,,,,
11.6,,,,64.1,
4,8.9,,25.8,,1.7
,,,,,
36.2,,,20.3,,
,,,,,
,,,,,
,,,,,
11.1,,100,,,
,,,,,
33,8,100,5,50,0
,,,24,,1.9
,,,,53.1,12.5
9.1,,,,,
7.5,17,,,,0.7
,,,,,
,,,29.2,,0
29.9,11.4,,,,0.9
8,,,,42,
,,,1.5,,0
0,,,,,
66.7,8.1,0,4.8,21.7,0
0,0,0,15.7,45.5,16.7
,,,,,
4.9,,,,,1.9
13.1,19.9,,7,46.4,4.9
,,,,,0
,12.9,,,58.5,
69.6,,100,,,3.4
,,,,,
,18.2,100,17.4,54.3,3.8
32,9,,,,10
5.3,9.2,,,,
73.7,7.2,96,10.9,68.4,45.5
45.5,5.9,,,,20
52.2,6.9,100,16.1,40.7,34.9
73.7,,,,,
,,,,,
67,8.5,,,,36
6.1,14,87.5,15.7,,14.1
23.7,12,100,17,66.2,5.2
,,,,,
,,,,,
,30,100,15,25,
,,,,,
,2,,,,
,,,,,
,,,,,
,,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
8,18.4,100,5.2,59,6.3
,,,,,20
0,,,,,0
47,,,21.1,,8.3
,,,10,,
,,,21.1,,
20.2,,,,,
,,,,,
,,,,,
,,,,,
96,9,,3,31,20
,,,,,
50,,,,,
,,,,,
25.4,6.9,90,5,60,37
40,12.8,,12.5,15,20
5.2,6.6,,,,
4,,,31.5,47.5,0.6
6.2,,,33,,0.6
,,,,,
,,,,,
,,,,,
,,,,,80
50,3,0,0,80,0
,,,,,
,,,,,7.7
,,,,,
,,,,,
13,,,,81.5,
,,,,,
23.7,,,14,,11.1
,,,,,
,,,,,
,,,,,7.2
,11.1,,19.8,59,
,12.3,,16,57.4,2.1
,,,10,,
,,,,,
,,100,,40.2,
,,,,,
55.6,2.8,100,1.2,72.5,100
,,,,,
80,,,,,
57,,100,,,
,,,,,18
,,,,,
,14.7,,,,
65,,,,,
,14.9,,13.7,,7.2
,,,,,40
,5.7,,,,
,,,,,
,,,,,
66.7,,,,,0
19.2,,100,,,12.1
,,,,,
42.9,26.3,,,,71.4
36,11.3,100,,,14
4,12,7.1,29.6,,0
,,,,26,23
57.9,,,,,
69,12,100,5.1,29.8,48
5.2,18.3,,,,0
,,,,,
,,,,,
,,,,,25
7,15,,21,,3
,,,,,
,,,,,
,,,,,
45.5,,,15.5,49.5,4.1
,,,,,
,,,,,
1.8,8.6,,,,11.1
,,,,,
,,,,,6.7
,5.4,,,,
,,,,,
,,,,,
,,,,,
54.4,,,6.7,,18.6
,,,,,
,,,,,
,3.3,,,,1.1
28.1,13.2,100,17.9,66.7,10.7
,,,,,
,,,,,
30.6,10.8,,,54.6,16.7
42.7,13.9,100,8.6,82.6,30.4
24.7,14.5,100,10.1,66,14.5
,,100,11.7,82.9,
,,,,,
,,,,,
62,5.7,,7.6,,19
,,,,,
19.2,9.3,,,,
,,,,,
,,,,,
63,,3,,,15
,,,,,
27.1,10.2,100,5.2,47.1,13.6
24,5,0,,32,0
5.8,,,20,,
1.8,17.3,,14,60.1,0
,12,100,14,100,0
,,,,,
,,33,,,
19.1,14.5,,13.7,61.5,3
100,,,,,
61.7,8,,8.5,,53.1
0,0,,20,15,0
27.5,5,100,24.2,54.8,6.7
,,,,,
,,,,,
45,10,100,13.6,79.1,17.5
45.2,18,100,4.4,70.1,16.2
18.8,5.6,0,15.9,,3.1
20.7,,,10,,
,,,,,
,,,2,,0
77,,,8.2,,27
,,,,,
,,100,,,
30.2,9,,16,,24.2
51.3,19.1,,,,0
,,,,,
63.6,2.4,0,0.9,54.2,0
,,,,,
,,,,,50
,,,,,
23.5,2.8,100,20,,0
,,,,,
,,,,,
,8.5,,,,
,,,,,
,,,18.3,,
,,,,,
,,,0.5,,20
,,,,,
23.2,19.3,,,46,
,,,,,
,,,,,
18.4,14.5,100,19,60.8,9.9
53,,100,,,
,,,,,
,,,,,
55,8.5,,7.5,,11.1
,,,,,
19.4,8.4,100,12,68.4,2.3
,,100,,,
14.1,8,,13,63.7,1.8
,,,0.5,,7
,,,,,
,,,,,
,12.8,,15.6,,13
18.4,,,,78.5,3.7
0,,,,,
,,,,,
,,,,,
16.6,12.8,85.7,16,53.6,3
27.8,,,,,3.5
,,,,,
16.9,7.1,100,26.8,59.6,4
8.7,9.7,,36.5,86.8,0
,,,,,
,,,,,
15.6,6.4,100,9.7,70.6,4.7
,,,,,
,4.2,,5.3,,23.1
,10.4,,,,13.5
,11,,12,,0
91,8.3,91,15.6,75,73
,,,,,
,18.1,100,,10.8,
8.9,7,100,,,4.9
0,,,8.3,,
,,,2,,50
11.3,13.8,,10.6,59.7,
,11.5,,,,
,,,,,34
,,100,,,1.8
6,,,,,
,,,,,16.7
13.4,7.5,100,18.9,15,2.5
,,,11,,4
12.5,15.5,100,15.2,98.1,2.6
15.1,14.1,,9.8,,
,,,,,
0,0,,10,10,0
78.9,9.4,100,,69.9,3.1
6,13,100,17.7,98,1
,,,,,
,,,,,
0,,,,,
17,9.6,,,,
,13.1,,,,
,,,,,
,,,,,
61,18,100,6,81,18
72.2,6.1,100,5.5,,51.8
,,,,60,15
,,,,,
4.8,12.1,,13.2,63.1,4.8
,,,,,0
,,,,58,
7.2,17.4,100,13.1,58.5,7.2
3.5,15.4,100,9.7,,3.5
4,11,100,16.2,70,4
4.5,,,,33.6,
,12,,,,
60.8,,100,,,
50,,,,,
1.6,,0,,,
,,,,,
,,,8.4,,9.5
,,,,,
73,6,,,,100
66,,,,,
,,,,,
,,,,,
,,,0,,
,12.5,,20.5,75.8,50
,,,,,
,9.4,,18,35.1,2.6
34,5.5,,,,0
,,,20,,
7.1,,,,,8.6
,10,,,,
8.4,19,100,17,,2.9
100,3,,16,,
20.2,5,100,23,,
19.1,8.6,100,9.7,49.8,0
,,,,,
,,,,47.7,
0,,,,,
50.9,4.9,100,4.4,69.9,12.8
,,,,,
,,,,,
37.9,,,,,
50,3.1,0,0.6,,100
,,,,,
,,,,,
,,,,,
,,,,,16.2
3,,0,,,
,,,,,
34.6,4,100,24.8,66,0
,,,,,
20.7,5.3,0,5.4,,20
14.7,13.5,100,31,49.2,3.6
,,,,,
,,,,,
,,,,,
23.5,,100,20.1,,6
8.6,9.1,,,65,4.3
14,6,0,34,58,0
,,,,,
,5.4,,15.4,,33
100,4,100,10,50,100
,,,,,
17.8,7.3,,,72,
26.7,4.9,200,15.7,54,5.9
,,,,,
4.7,,100,35,,2.8
,,,,,
24.2,4.5,,,,28.9
,10.6,,,,
,,,,,
7.4,5.6,100,25.6,61.8,0.8
49.5,15.7,,,,18.9
,,,16,,15
,,,,,
100,,,,,
,0.8,100,,,14.2
67.9,2.8,,,,77.6
,4.2,,,,50
40,3,100,5,100,40
20.4,13.6,100,23.3,59.4,6.6
65.2,17.9,,,,8.7
,,,,,
,11.8,,7.4,,27.5
13.6,18,,9.1,52.4,14.3
,18,,,,0
8.6,,,27.2,,
,,,,,
,,,,,
,,,15,,10.3
,,,,,
,,,15.3,,1.9
0,,,,,
,,,,,0
,,,,,
,,,,,
,,,28,,0
98.9,16.9,,,78.2,72
21,9.7,,,,0
,,,,,
2.7,8.8,0,19.4,,0
21,,,5.7,,
,,,20.3,,0
29,4,100,,,0
,,,6.5,,4
16.5,14,100,,100,
,22.4,,15.6,,6.2
,,,,,
,,,,,
17.4,12.1,100,16.1,59.9,8.1
96.6,9.9,,5.8,69.6,0
,,,,73.9,6.8
,,,,,20
49,6.5,100,10.3,,23.3
,9.7,100,13.9,,32.8
,,,17,,13
,,,,,
,,,,,
36.4,,,10,,26
36.6,,100,40,,1.8
,,80,,,
,,,,,
20,6,,,,
38,1.8,0,0,15.5,0
,,,,83.1,
,,,,,
,,,,,
,,,,,
,,,,,
,10.8,,21.7,42.2,1.4
60.6,,100,,,51.3
,,,,,
60.5,8.3,,1.4,,36.1
,,,,,12.5
,,100,,,
22.6,5.5,,20.7,48.6,
,,,,,
,,,,,
,,,,,
,10.9,,,,
,,,,,
13.2,19.6,,,,
36.1,,,,,46
,,,,,
,,,,,
,,,,,
,,,,,
,,,50.8,,2.6
,,,6.8,55.8,
,17.5,,,,0
,,,,,
,13.9,,6.2,,17.4
,,,,,
70,,100,,89,83
16,6,,,,
27,,0,,,12
,,,,,
,,,,,
,,,11.8,,
,,,13,,0
,,,,47.7,29
59,,,31.1,,4.7
,3,,,,5
48,9.4,100,19.7,46,23
,,,,,
25,,,,,0
91.7,2,0,13.4,32.8,0
42.1,5.7,0,1,,0
,,,,,
,,,,,
,,,,,
46.4,,100,28.5,,33.8
18.4,,,21.8,68.9,3.2
,,,,,
50.4,12,100,0,57.4,33.7
35,,,,,
67,,,1.9,,62
,,,,,
14.2,0.1,0,12,33,0
25,1,0,0,0,0
,5.7,,,,16
17.5,14,150,4.2,80.1,2
,,,,65.3,
20.6,20.1,113.3,10.1,63.1,5.3
16.9,,,7.7,,0
,,,,,
,19.3,,,,
,,,,71,14.8
46.9,,,,,12.6
75,,100,4.2,,32.2
,,,,,
,,,,,
,11,,,,
19,7.8,0,,79.3,20
24.2,,100,22,80,
,19.3,,16.8,,
14.2,17,100,16,59.8,0
26.9,10.1,100,7.3,79.8,3.9
,,,,55.4,
5.8,23.7,,16.7,60.7,
21.5,11.6,100,17.8,53.7,13
,,,,,
,,,,,
22.7,11.4,,13.9,,7.4
,8,,,,
,,,,70,
,2.7,100,16.5,,12.8
,,,10.6,,12.5
,,,,,61.5
,,,0,,0
,,,,,
,9.9,,,81.7,
,,,,,
12.7,6.8,,,,
,4,,,,
53,2,,,,44
0,10.1,100,,,
,,,,,
,,,,,
0,0,0,10,0,0
40.5,0.1,,30,,19.4
,,,,,
,,,,,
63,15.3,,29.4,64.9,50
40,,,,,
,,,,,
,7.4,,,,
,,,,,
,,,,,
57.3,4.8,100,32.4,43,38.9
56.6,5.4,100,31.3,51,41.4
,,,24.8,,62.5
,,,28.4,,23.5
,,,30,,25
,,,,,
38.1,,,33.1,,21.1
,3,,,,3.4
,8.7,,,,
,6.5,,,,5
83.7,46.9,,44,5.7,6.7
,,,16,79,0
16,15.8,100,20.5,60,4.1
,,,,,
,,,,,
,,,,,
,,,,,
45.5,14.1,100,9.9,58.6,8
34.3,7.6,,22.1,,5.2
,,,,,
,,,,,
21.5,17.6,,,72.3,
,3.9,,,,
50.5,3.5,100,,,22.5
,4.9,,21,35.3,44.4
36.4,4.2,,,,
0,0,,18.1,62,0
,,,40,,75
49.3,5.3,0,6.7,48.6,26
,,,,,
,,,12.2,,
17.1,,100,,58.6,
22.7,10.9,100,15.6,61.2,7.4
51,7.2,133.3,10.3,48.2,18.2
,,,,,33.3
,,,,,0
,,,,,
,,,,,
,,,,,
15,,,,,33
,,,,,
31.9,12.6,,,,22.9
17.6,18,100,11.8,,13.7
,6,,,,0
60,,,,,
,,,,,
,,,,,
,,,,,
6,,,,,
23.4,8,100,,,2.6
,,100,,,18.9
74.4,6.2,100,13.1,35.9,35.7
70.2,,,,52.2,
,,,,,50
,,,,,
,,,,,
,,,,,
,2.6,,,,12.1
76.8,8.7,100,7.2,58.2,51.5
,,,,,
23.1,1.9,100,0.5,46.1,11.1
,,,,,9
7.1,,,,,0
,,,,,
,9.7,,,,1.5
,,,,,
,,,,,
,,,,80,
,,,,62.5,
,18.5,,,,
16.2,9,,,,6.9
,,,,,
6.9,15.8,120,20.9,75.3,1.3
15.9,9.6,100,10.2,65,2.4
16,14.9,100,6.1,43.1,3.7
,,100,,54.1,
,,,,,
,12.2,,23,,
16,,,,,
30,8.2,,13.1,,20
15,21.3,100,12.6,64.1,4.3
7,9.8,99.7,14,96.6,1.4
,,,,,
5,10.7,,,,
,,,3.8,,1
,,,,,
,12.7,100,29.4,56.9,0
,,,,90.8,
15,11.5,,,,
17,,100,,,0
,,,20,,1
66.3,14.6,100,29.2,86.5,1
19.9,15.7,100,7.6,65,2.7
28.3,19.7,100,,54.3,0
36.4,9,100,15.3,60,0
,10.9,,28,,
,,,,,
,,,30,,
,,,,,
24.3,13.7,100,4.1,42,9.6
,,,,,
,9.4,,13.2,,5.6
40.4,,100,10.3,54,17.6
22.4,9.2,,14.5,40.5,12.9
37,11,100,21,47.7,19.8
,,,,,
45.5,,,14,,
,,,,,
,,,,,
,,,,,
,,,,,
9,15,100,27,71,
47.3,17.5,,,,
15.3,15.8,,,,
100,2.7,,10.2,80,0
,,,,,
,,100,,,
,,,,,
,,,,,
0,,,12.5,,
30.9,15.5,,,,
,,,10,,67
8.4,5.6,100,1.9,,0
2.8,15.2,0,1.3,43.8,47
,,100,,,16
,,,,,
,,,,,
,,,0,,
,,,,,
,,,,,
,,,,,
,,,,,100
9,12.9,,28.4,65,
75,16,,29.1,,1.7
8.5,,,14.8,,
,,,,,
,,,13.1,89.4,2.7
,,,,,
6.3,15,,,83.5,
18.1,17.6,100,5.1,70.5,9.9
20,13.8,,,,
,,,,,
,,,,,
40,12,100,12.9,,14
,13,,16,,0
